Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Gross Outlay Amount,Current Month Deficit Surplus Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-03-31,55872541,55872569,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,2,2025,1,03,31
2025-03-31,55872541,55872571,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,2,2025,1,03,31
2025-03-31,55872541,55872573,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,2,2025,1,03,31
2025-03-31,55872541,55872576,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,2,2025,1,03,31
2025-03-31,55872541,55872579,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,2,2025,1,03,31
2025-03-31,55872541,55872582,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,2,2025,1,03,31
2025-03-31,55872541,55872585,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,2,2025,1,03,31
2025-03-31,55872541,55872588,September,526988280615.09,462298467879.74,-64689812735.35,1,13,13,130,D,MTH,2,1.12,2025,2,2025,1,03,31
2025-03-31,null,55872598,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,2,2025,1,03,31
2025-03-31,55872541,55872590,Year-to-Date,4918104214376.26,6750493399582.69,1832389185206.43,1,14,14,140,T,SL,2,1.13,2025,2,2025,1,03,31
2025-03-31,55872598,55872605,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,2,2025,1,03,31
2025-02-28,null,55680874,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,2,2025,1,02,28
2025-02-28,55680874,55680904,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,2,2025,1,02,28
2025-02-28,55680874,55680908,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,2,2025,1,02,28
2025-02-28,55680874,55680912,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,2,2025,1,02,28
2025-02-28,55680874,55680915,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,2,2025,1,02,28
